pid,name,pos,team,age,dhq,fc_value,fc_scaled,dev_vs_fc_pct
9509,Bijan Robinson,RB,ATL,24,8306,10392,8306,0
9221,Jahmyr Gibbs,RB,DET,24,8122,9814,7844,4
4984,Josh Allen,QB,BUF,30,8091,10039,8024,1
11564,Drake Maye,QB,NE,23,6782,8785,7022,-3
9493,Puka Nacua,WR,LAR,25,6776,8646,6910,-2
7564,Ja'Marr Chase,WR,CIN,26,6025,9808,7839,-23
9488,Jaxon Smith-Njigba,WR,SEA,24,6003,9275,7413,-19
9226,De'Von Achane,RB,MIA,24,5891,5984,4783,23
11560,Caleb Williams,QB,CHI,24,5796,7212,5764,1
6904,Jalen Hurts,QB,PHI,27,5579,5673,4534,23
4046,Patrick Mahomes,QB,KC,30,5509,5626,4497,23
4881,Lamar Jackson,QB,BAL,29,5322,7229,5778,-8
7547,Amon-Ra St. Brown,WR,DET,26,5302,7387,5904,-10
6813,Jonathan Taylor,RB,IND,27,5184,5271,4213,23
7523,Trevor Lawrence,QB,JAX,26,5023,5118,4091,23
6797,Justin Herbert,QB,LAC,28,4941,5712,4565,8
11563,Bo Nix,QB,DEN,26,4939,5059,4044,22
8112,Drake London,WR,ATL,24,4793,5907,4721,2
8138,James Cook,RB,BUF,26,4715,5021,4013,17
12527,Ashton Jeanty,RB,LV,22,4587,6931,5540,-17
8183,Brock Purdy,QB,SF,26,4408,4494,3592,23
13287,Jeremiyah Love,RB,ARI,21,4355,6618,5290,-18
11604,Brock Bowers,TE,LV,23,4310,7655,6118,-30
8137,George Pickens,WR,DAL,25,4188,4507,3602,16
3294,Dak Prescott,QB,DAL,32,4110,4193,3351,23
12508,Jaxson Dart,QB,NYG,23,4078,5465,4368,-7
11566,Jayden Daniels,QB,WAS,25,4018,7137,5704,-30
6770,Joe Burrow,QB,CIN,29,3955,6790,5427,-27
11632,Malik Nabers,WR,NYG,22,3948,6797,5433,-27
8155,Breece Hall,RB,NYJ,25,3903,4009,3204,22
